Word,Pos_Score,Neg_Score,Obj_Score
अनौपचारिक रूप से,0.03125,0.0,0.96875
बिना अन्त के,0.0,0.5,0.5
पार्श्वस्थ,0.0,0.0,1.0
पार्श्वस्थ रूप से,0,0,0
विशेषणीय,0.0,0.0,1.0
विशेषण के रुप मे प्रयोग किया हुआ,0.125,0.0,0.875
समायोज्य,0.375,0.0,0.625
बिना तैयारी के,0.25,0.0,0.75
प्रशासनिक,0.25,0.0,0.75
शासन सम्बन्धित,0.25,0.0,0.75
प्रशासनिक रूप से,0.0,0.0,1.0
प्रशंसनीय,0.640625,0.0,0.359375
उत्तम रीति से,0.5,0.0,0.5
प्रशंसा युक्त,0,0,0
प्रशंसापूर्वक,0.875,0.125,0.0
स्वीकार करने योग्य,0.25,0.625,0.125
स्वीकार करते हुए,0.0,0.0,1.0
चेतावनी देते हुए,0,0,0
चेतावनी देने वाला,0.0,0.4375,0.5625
किशोरकालीन,0.046875,0.03125,0.921875
दत्तक,0.25,0.0,0.75
प्यारा,0.5625,0.0,0.4375
प्यारी तरह से,0.25,0.0,0.75
प्यारभरा,0.5,0.0625,0.4375
प्यारभरे रूप से,0.75,0.125,0.125
अधिवृक्क,0.0,0.0,1.0
अधिवृक्क रूप से,0,0,0
तैरता हुआ,0.18359375,0.0625,0.75390625
डावाँडोल,0.046875,0.0,0.953125
कुशलता से,0.625,0.0,0.375
चापलूसीपूर्ण,0.25,0.0,0.75
वयस्क,0.0625,0.046875,0.890625
व्यभिचारी रूप से,0.125,0.0,0.875
व्यभिचारी,0.3125,0.328125,0.359375
पूर्व,0.0639718770980835,0.035157203674316406,0.9008709192276001
उन्नत,0.47021484375,0.03125,0.49853515625
उच्च श्रेणी के,0.3154296875,0.0625,0.6220703125
नया,0.10498046875,0.0230712890625,0.8719482421875
अभी तक सामान्य रुप से स्वीकृति ना मिला हुआ,0.3154296875,0.0625,0.6220703125
बढ़ा हुआ,0.3154296875,0.0625,0.6220703125
फायदेमन्द,0.5,0.0,0.5
फायदेमन्द रूप से,0.625,0.0,0.375
आकस्मिक रूप से,0,0,0
साहसिक,0.3671875,0.140625,0.4921875
साहसिक रूप से,0,0,0
प्रतिकूल,0.09375,0.38759803771972656,0.5186519622802734
प्रतिकूल रूप से,0.25,0.0,0.75
उचित,0.5169429779052734,0.0005245208740234375,0.4825325012207031
योग्य रूप से,0.0,0.0,1.0
विचार करके,0.375,0.0,0.625
सलाहकारी रूप से,0,0,0
सलाहकारी,0.125,0.0,0.875
आकाशीय,0.0703125,0.01171875,0.91796875
विमान से,0.015625,0.0234375,0.9609375
हवा में से किया गया,0.03125,0.046875,0.921875
हवाई,0.03125,0.046875,0.921875
हवा में से की हुई तरह से,0.0,0.0,1.0
हवाई कलाबाज़ीवाला,0,0,0
वैमानिकी रूप से,0,0,0
वैमानिक रूप से,0,0,0
वैमानिक,0.0,0.0,1.0
वैमानिकी,0.0,0.0,1.0
सौंदर्य परख,0.3125,0.0,0.6875
सौंदर्यप्रेमी,0.3125,0.0,0.6875
सुरुचिपूर्ण,0.34375,0.03125,0.625
सौंदर्य परख रूप से,0.0,0.0,1.0
दूर से,0.125,0.0,0.875
दूर पर,0.125,0.0,0.875
मिलनसार,0.311065673828125,0.025634765625,0.663299560546875
सुशील,0.442626953125,0.0072021484375,0.5501708984375
सुशीलता से,0.25,0.0,0.75
मिलनसारी से,0.25,0.0,0.75
बनावटी रूप से,0.0,0.375,0.625
प्रभावपूर्ण,0.25,0.0625,0.6875
बनावटी,0.029296875,0.45654296875,0.51416015625
प्रभावपूर्ण रूप से,0.375,0.0,0.625
स्नेही,0.625,0.0,0.375
स्नेह से,0.75,0.125,0.125
स्वीकारात्मक,0.5,0.03125,0.46875
स्वीकारात्मक रूप से,0.25,0.0,0.75
संतप्त,0.3125,0.5,0.1875
समृद्ध,0.296875,0.0390625,0.6640625
धनी,0.375,0.03125,0.59375
धनी रूप से,0,0,0
भयाकुल,0,0,0
अपमानित,0,0,0
दूर,0.00592041015625,0.0039520263671875,0.9901275634765625
प्रज्वलित,0.1875,0.125,0.6875
बहता हुआ,0.234375,0.03125,0.734375
ज़ारी,0.0,0.0,1.0
पूर्वोकपै,0.0,0.0,1.0
भयभीत,0.01171875,0.296875,0.69140625
डरा हुआ,0.029296875,0.3828125,0.587890625
नए सिरे से,0.0,0.0,1.0
अफ्रीकी,0.0,0.0,1.0
घुघँराले बाल,0,0,0
जहाज़ के पिछले भाग के पास,0.0,0.0,1.0
बाद में,0.0,0.0,1.0
बाद का,0.0,0.0,1.0
तत्पश्चात,0.01171875,0.0,0.98828125
फिर से,0.0,0.0,1.0
एक बार फिर,0.0,0.0,1.0
दुबारा,0.0,0.0,1.0
पुन,0.0,0.0,1.0
लेकिन फिर,0.0,0.0,1.0
मुँह बाए,0.375,0.015625,0.609375
वृद्ध,0.08740234375,0.013671875,0.89892578125
उत्तेजक,0.2421875,0.2109375,0.546875
उत्तेजक रूप से,0.0,0.0,1.0
कुल,0.00390625,0.064453125,0.931640625
आक्रामक,0.0625,0.03515625,0.90234375
आक्रामक रूप से,0.5,0.0,0.5
व्यथित,0,0,0
व्यथित रूप से,0,0,0
हक्का बक्का,0.25,0.0,0.75
हक्का बक्का हुए,0,0,0
फुर्तीला,0.32952117919921875,0.0013427734375,0.6691360473632812
पहले,0.0216064453125,6.103538908064365e-05,0.9783325192984194
उत्सुक,0.205078125,0.1083984375,0.6865234375
बहुत दुखी,0.25,0.75,0.0
बहुत अधिक,0.0,0.03125,0.96875
भीड़ के डर से पीडित व्यक्ति,0.0,0.75,0.25
भूमि विषयक,0.0,0.0,1.0
रुचिकर,0.15625,0.0,0.84375
सहमत,0.15625,0.0,0.84375
सहमति से,0.375,0.0,0.625
कृषी सम्बन्धी,0.0,0.0,1.0
कृषी सम्बन्धी रूप से,0,0,0
भूग्रस्त,0.0,0.0,1.0
आगे,0.0078125,0.0,0.9921875
रोगी,0.0625,0.625,0.3125
लक्ष्य रहित,0.1875,0.0,0.8125
लक्ष्य रहित रूप से,0.25,0.0,0.75
वातानुकूलित,0.0,0.0,1.0
वायु-शीतित,0.0,0.0,1.0
हवाई-से-हवाई,0.0,0.0,1.0
वायुवाहित,0.0,0.0,1.0
घुटन भरा,0.125,0.25,0.625
हवाई सफर से बीमार,0.0,0.5,0.5
वायु रोधक,0.0625,0.5625,0.375
उडने योग्य,0.125,0.0,0.875
हवादार,0.1171875,0.3125,0.5703125
बेपरवाही से,0.203125,0.0703125,0.7265625
अव्यवहारिक,0.0,0.75,0.25
अधखुला,0.0,0.125,0.875
सदृश,0.09375,0.1015625,0.8046875
कमर पर हाथ रखे हुए,0.0,0.0,1.0
व्यंजन सूची से,0.0,0.0,1.0
फैशन प्रिय,0.0,0.0,1.0
सतर्क,0.22607421875,0.16015625,0.61376953125
भयप्रद,0.0,0.5,0.5
खतरनाक ढंग से,0.5,0.125,0.375
शराबी,0.0,0.0,1.0
सतर्क रूप से,0.25,0.0,0.75
ताजी हवा मे,0.0,0.0,1.0
शैवाल युक्त,0.0,0.0,1.0
पराया,0.125,0.103515625,0.771484375
पराये रूप से,0,0,0
उज्ज्वल,0.29840087890625,0.0218505859375,0.67974853515625
समान रूप से,0.01171875,0.00390625,0.984375
समान,0.1567688441402879,0.11719513068089782,0.7260360251788143
जीवित,0.052564263343811035,0.017822265625,0.929613471031189
के विषय में सचेत,0.248046875,0.0,0.751953125
जीवित रूप से,0,0,0
क्षारीय,0.0,0.0,1.0
सब,0.34375,0.0,0.65625
सारा,0.34375,0.0,0.65625
पूर्ण रुप से,0.34375,0.0,0.65625
चौतरफा,0.0,0.0,1.0
सबको मिलाकर,0.375,0.0,0.625
भरसक,0,0,0
बहु प्रयोजन,0.0,0.75,0.25
जिसमें बहुत सारे प्रख्यात अभिनेता,0,0,0
अभिनेत्रियाँ हो,0,0,0
आरोपित,0.0,0.125,0.875
कथित रूप से,0.0,0.0,1.0
रूपक सम्बन्धी रूप से,0.25,0.0,0.75
रूपक सम्बन्धी,0.0,0.0,1.0
त्वरित गति,0.09375,0.0,0.90625
एलर्जी से सम्बन्धित,0.0,0.4375,0.5625
अति नफ़रत होना,0.0,0.4375,0.5625
अत्यधिक,0.056640625,0.0947265625,0.8486328125
सहबद्ध,0.0,0.0,1.0
सहबध्द रूप से,0,0,0
अनुज्ञेय,0.1875,0.09375,0.71875
मोहक,0.546875,0.03125,0.421875
मोहक रूप से,0.375,0.0,0.625
सर्वशक्तिमान रूप से,0,0,0
सर्वशक्तिमान,0.125,0.0,0.875
अधिकतर,0.0,0.0,1.0
अकेला,0.019500732421875,0.14849853515625,0.832000732421875
आगे बढना,0.0,0.0,1.0
अलग,0.044921875,0.006868839263916016,0.948209285736084
ज़ोर से,0.03515625,0.0,0.96484375
वर्णमालानुसार,0.0,0.0,1.0
वर्णमाला के क्रम से,0.0,0.0,1.0
यूरोप का पर्वतीय क्षेत्र,0.0,0.0,1.0
पहले से,0.046875,0.0,0.953125
,0.06396484375,0.107666015625,0.828369140625
बिल्कुल सही,0.1875,0.03125,0.78125
भी,0.03589630126953125,0.06515789031982422,0.8989458084106445
एकान्तरत,0.0009765625,0.0,0.9990234375
बारी-बारी से,0.0,0.0,1.0
वैकल्पिक,0.0234375,0.0390625,0.9375
विकल्पत,0.0,0.0,1.0
जिसमें दूसरा उच्चतम स्वर हो,0.0,0.0,1.0
पूर्णरुप से,0.0625,0.03125,0.90625
कुल मिलाकर,0.0625,0.03125,0.90625
परोपकारी,0.875,0.0,0.125
वर्त्स्य,0.0,0.0,1.0
हमेशा?,0.0625,0.125,0.8125
अप्रवीण,0.375,0.125,0.5
अचम्भित,0.375,0.25,0.375
आश्चर्यजनक,0.17578125,0.390625,0.43359375
आश्चर्यजनक रूप से,0.125,0.0,0.875
चारो ओर से घेरने वाला,0.375,0.0,0.625
व्यापक,0.1217041015625,0.01806640625,0.8602294921875
व्यापक रूप से,0.0,0.0,1.0
द्वयार्थी,0.109375,0.25,0.640625
द्वयार्थी रूप से,0.375,0.0,0.625
महत्वाकांक्षी,0.3125,0.3125,0.375
महत्वाकांक्षी रूप से,0.375,0.0,0.625
मिले जुले भाववाला,0.0,0.625,0.375
मिले जुले भाव से,0,0,0
तथास्तु,0,0,0
ऐसा ही हो,0,0,0
जवाबदेही,0.109375,0.25,0.640625
आज्ञाकारी,0.27734375,0.0625,0.66015625
वश्य,0.109375,0.25,0.640625
वश्य रूप से,0,0,0
अमरीकी,0.0,0.0,1.0
मिलनसार रूप से,0.25,0.0,0.75
मित्रवत्,0.625,0.0,0.375
मित्रवत् रूप से,0.25,0.0,0.75
जहाज के मध्य में,0.0,0.0,1.0
गलत,0.07720184326171875,0.5824661254882812,0.34033203125
पागल की तरह,0.09375,0.09375,0.8125
दुराचारी,0.0,0.6328125,0.3671875
अधर्मी,0.234375,0.5,0.265625
अधर्मी रूप से,0.0,0.625,0.375
कामी,0.40625,0.03125,0.5625
अनाकार,0.09375,0.4375,0.46875
जल तथा स्थल पर चलने योग्य,0.0,0.0,1.0
पर्याप्त रूप से,0.0546875,0.0,0.9453125
बहुत बड़ा,0.0483856201171875,0.022613525390625,0.9290008544921875
खुश हुए,0.0,0.125,0.875
विनोदी,0.4375,0.1875,0.375
मनोरंजक,0.5,0.0,0.5
मनोरंजक रूप से,0.75,0.0,0.25
कमजोर,0.21875,0.3671875,0.4140625
रक्ताभाव से पीड़ित,0.0625,0.1875,0.75
वात निरपेक्ष जीवाणु,0.0,0.3125,0.6875
गुदा-सम्बन्धी,0.0,0.0,1.0
अनुरूप,0.359375,0.109375,0.53125
सादृश्य,0,0,0
तुल्यरूप,0,0,0
वैश्लेषिक,0.03125,0.0,0.96875
शारीरिक,0.01171875,0.068359375,0.919921875
संरचनात्मक,0.0,0.0,1.0
पैतृक,0.0,0.0,1.0
बपौती,0.0,0.0,1.0
प्राचीन,0.029296875,0.0107421875,0.9599609375
सहायक,0.125,0.03125,0.84375
अनुशंगिक,0.0,0.0,1.0
उभयलिंगी,0.0,0.0,1.0
किस्सा संबंधी,0.1875,0.125,0.6875
नये प्रकार से,0.0,0.0,1.0
देवदूत के समान,0.3125,0.0,0.6875
इँगलैँड के गिरिजाघर से सम्बन्धी,0.0,0.0,1.0
गिरजाघर सम्बन्धी,0.0,0.0,1.0
आँग्ल-अमेरीकी,0,0,0
क्रोधित,0.1875,0.65625,0.15625
क्रोध से,0.125,0.0625,0.8125
मनोवेदना से भरा,0.0,0.625,0.375
दुर्बल,0.234375,0.3046875,0.4609375
इकहरा,0.1875,0.0,0.8125
कठोर अक्खड़,0.1875,0.0,0.8125
कोणीय,0.1875,0.0,0.8125
पाशविक,0.0625,0.1875,0.75
जंगली,0.043650150299072266,0.24609756469726562,0.7102522850036621
जोशपूर्ण,0.1875,0.0,0.8125
वार्षिक,0.03125,0.09375,0.875
वार्षिक में,0.0625,0.1875,0.75
वर्षभर में एक बार,0,0,0
नीरस,0.07343101501464844,0.27732086181640625,0.6492481231689453
पीडा नाशक,0.25,0.375,0.375
अनियमित,0.00238037109375,0.212158203125,0.78546142578125
नियम विरुद्ध,0.0001468658447265625,0.011004447937011719,0.9888486862182617
जल्दी,0.228515625,0.013671875,0.7578125
गुमनाम,0.03125,0.25,0.71875
भूख न लगने की बीमारी,0.0,0.375,0.625
एक और,0.0,0.125,0.875
दूसरा,0.140625,0.062530517578125,0.796844482421875
विरोधात्मक,0.140625,0.484375,0.375
दक्षिणी ध्रुवी,0,0,0
पुराना,0.044219970703125,0.2855110168457031,0.6702690124511719
दकियानूसी,0.015625,0.125,0.859375
प्रसव पूर्व का,0.0,0.125,0.875
मानवकार,0.015625,0.015625,0.96875
मानवशासत्रीय,0.0,0.0,1.0
हवामार,0,0,0
विमानभेदी,0,0,0
जनता विरोधी,0,0,0
पूर्वानुमान करता हुआ,0.625,0.0,0.375
विरोधी,0.125,0.375,0.5
पुरातनिक,0.0,0.0,1.0
पुरातन,0.16015625,0.09619140625,0.74365234375
यहूदी विरोधी भावना,0.0,0.75,0.25
असामाजिक,0.0625,0.4375,0.5
समाज के नियमों के प्रतिकूल,0.0625,0.4375,0.5
तोपनाशक,0,0,0
न्यास विरोधी,0.0,0.0,1.0
चिन्तित,0.0625,0.15625,0.78125
चिन्ता करनेवाला,0.125,0.3125,0.5625
चिन्ताजनक,0.125,0.3125,0.5625
उद्वेग से,0.0,0.0,1.0
किसी भी स्थिति में,0.0,0.0,1.0
कोई भी,0.0,0.0,1.0
किसी प्रकार से,0.0,0.0,1.0
कोई भी स्थान,0.0,0.0,1.0
कैसे भी,0.0,0.0,1.0
कहीं भी,0.0,0.0,1.0
शीघ्रता से,0.0,0.0,1.0
पृथक,0.121826171875,0.02863025665283203,0.849543571472168
उदासीन,0.2142658233642578,0.5328521728515625,0.2528820037841797
प्रत्येक,0.0,0.0,1.0
अप्रमाणिक,0.0625,0.25,0.6875
क्षमाप्रार्थी,0.0,0.625,0.375
भयंकर,0.04298430681228638,0.500266432762146,0.4567492604255676
भयंकर रूप से,0.0,0.0,1.0
स्पष्ट,0.34072733679843287,0.11252164841380505,0.5467510147877621
ऊपरी तौर से,0.5,0.0625,0.4375
आभास से,0.5,0.0625,0.4375
आकर्षक,0.3857421875,0.037109375,0.5771484375
याचना करते हुए,0.28125,0.09375,0.625
पुनर्विचार सम्बन्धी,0.0,0.0,1.0
स्वादिष्ट,0.666015625,0.23046875,0.103515625
लागू होना,0.5,0.0,0.5
व्यावहारिक,0.2392578125,0.0,0.7607421875
नियत,0.0234375,0.0625,0.9140625
गुणानुरागी,0.375,0.375,0.25
आशंकित,0.109375,0.484375,0.40625
डरपूर्वक,0.0,0.0,1.0
सुगम्य,0.40625,0.0,0.59375
उचित रूप से,0.15234375,0.06640625,0.78125
तकरीबन रूप से,0.5,0.25,0.25
प्रागनुभव,0,0,0
अभिप्रायानुसार,0.125,0.03125,0.84375
सन्दर्भित,0.125,0.03125,0.84375
उपयुक्त,0.07863616943359375,0.09194183349609375,0.8294219970703125
प्रवण,0.21875,0.40625,0.375
जलचर,0.0,0.0,1.0
जलीय,0.0,0.0625,0.9375
गरूड़ीय,0.0,0.0,1.0
कम्पित,0,0,0
अरबी,0.03125,0.0,0.96875
कृषि योग्य,0.625,0.0,0.375
मनमाना,0.0,0.0,1.0
मनमाने रूप से,0,0,0
वृक्षवासी,0.0,0.0,1.0
वक्र,0.080078125,0.2451171875,0.6748046875
प्रधान,0.1627197265625,0.0360107421875,0.80126953125
पुरातत्व,0.0,0.0,1.0
आधाररूपीय,0.0,0.0,1.0
वास्तुकला संबधी,0.0,0.0,1.0
वास्तुकला अनुसार,0.0,0.0,1.0
उत्तरी ध्रुवी,0.0,0.4375,0.5625
उत्कट,0.3125,0.234375,0.453125
श्रमसाध्य,0.09375,0.53125,0.375
आलोच्य,0.3125,0.0,0.6875
तर्क योग्य,0.3125,0.0,0.6875
विवादप्रिय,0.375,0.25,0.375
तार्किक,0.3359375,0.125,0.5390625
शुष्क,0.3126300573348999,0.14707517623901367,0.5402947664260864
अंकगणितीय,0.0,0.0,1.0
अनुभवहीन,0.2578125,0.0859375,0.65625
कवचवाला,0.0,0.125,0.875
कवचित वाहन,0.0,0.125,0.875
कवचित,0,0,0
सुरभित,0.1875,0.0625,0.75
सुगन्धित,0.28125,0.0625,0.65625
घेरेवाला,0.0166015625,0.00048828125,0.98291015625
अहंकारी,0.40625,0.171875,0.421875
घमण्डी,0.34375,0.53125,0.125
अभिमानी,0.46875,0.1875,0.34375
चालाक,0.259033203125,0.29400634765625,0.44696044921875
कुशलतापूर्वक,0.34375,0.21875,0.4375
जुड़ा हुआ,0.0,0.3125,0.6875
कृत्रिम,0.0752105759820978,0.23926544212754308,0.6855239818903591
कलात्मक,0.375,0.0,0.625
कला प्रेमी,0.375,0.0,0.625
बेढंगा,0.12890625,0.4609375,0.41015625
रोगाणुरहित,0,0,0
अलैंगिक,0.0,0.625,0.375
पीला,0.01171875,0.2861328125,0.7021484375
विवर्ण,0.046875,0.515625,0.4375
तट पर,0.0,0.0,1.0
धूसर,0.0,0.0,1.0
एशिया संबंधी,0.0,0.0,1.0
रद्द करना,0.0,0.0390625,0.9609375
अलग रखना,0.0,0.0390625,0.9609375
बहुत मूर्खतापूर्ण,0.375,0.0,0.625
संदेह से,0.0,0.125,0.875
टेढा,0.0,0.0,1.0
तिरछा,0.0166015625,0.009812593460083008,0.973585844039917
सोता हुआ,0.0,0.078125,0.921875
सुशुप्त,0.015625,0.0625,0.921875
प्रार्थी,0.3125,0.0,0.6875
उम्मीदवार,0.3125,0.0,0.6875
हठ धर्मी,0.625,0.25,0.125
दृढ़ता से,0.3359375,0.0,0.6640625
श्रमशील,0.125,0.25,0.625
मेहनत से,0.0,0.0,1.0
सहयोगी,0.00048828125,0.001953125,0.99755859375
उप-,0.008056640625,0.0009765625,0.990966796875
मिलाजुला,0.125,0.3125,0.5625
आश्वस्त रूप से,0.0,0.25,0.75
पीछे के भाग मे,0.0,0.0,1.0
जहाज के पीछे के भाग मे,0.0,0.0,1.0
श्वासरोगीय,0.0,0.375,0.625
खलबली,0.0,0.0,1.0
गुमराह,0.15625,0.21875,0.625
पाँव फैलाकर,0.0,0.0,1.0
कठोर,0.06255752062238754,0.261120689522475,0.6763217898551375
ज्योतिषीय,0.0,0.0,1.0
पृथक्-पृथक,0.0,0.0,1.0
स्पर्शोन्मुख,0.375,0.625,0.0
तुरन्त,0.012148072009040334,0.15919495001799078,0.8286569779729689
हृष्ट-पुष्ट,0.15625,0.0,0.84375
आड़ा,0.0,0.000751495361328125,0.9992485046386719
कम से कम,0.0,0.09375,0.90625
परमाण्विक,0.0,0.0,1.0
अति-दुष्ट,0.0,0.8125,0.1875
प्राप्य,0.5,0.0,0.5
साथी,0.0,0.0,1.0
चौकस,0.27734375,0.189453125,0.533203125
चौकसी से,0.3125,0.0,0.6875
सम्बन्ध लगाए जाने योग्य,0.625,0.0,0.375
दुःसाहसी,0.265625,0.40625,0.328125
साहसी,0.455657958984375,0.076263427734375,0.46807861328125
श्रव्य,0.1875,0.0,0.8125
प्रतापी,0.25,0.125,0.625
शुभ,0.625,0.0,0.375
सादा,0.15310275554656982,0.14165282249450684,0.7052444219589233
असली,0.3145473480224609,0.265948486328125,0.41950416564941406
विश्वसनीय,0.39951171875,0.07021484375,0.5302734375
विशुद्ध,0.25625,0.275,0.46875
आधिकारिक,0.0859375,0.046875,0.8671875
प्रामाणिक,0.2359619140625,0.02813720703125,0.73590087890625
निरंकुश,0.015625,0.296875,0.6875
स्वचालित,0.0,0.0703125,0.9296875
अविवेचित,0.0,0.28515625,0.71484375
उपलब्ध,0.09375,0.0,0.90625
मिलता है,0.09375,0.0,0.90625
औसत,0.002410888671875,0.245697021484375,0.75189208984375
